fuelboom

            trx-12 trim analysis parameters

kcas	alpha	delta	theta

 250.00	 -15.00	 -27.86	 105.00
 250.00	 -14.00	 -26.00	 104.00
 250.00	 -13.00	 -24.14	 103.00
 250.00	 -12.00	 -22.29	 102.00
 250.00	 -11.00	 -20.43	 101.00
 250.00	 -10.00	 -18.57	 100.00
 250.00	  -9.00	 -16.71	 99.00
 250.00	  -8.00	 -14.86	 98.00
 250.00	  -7.00	 -13.00	 97.00
 250.00	  -6.00	 -11.14	 96.00
 250.00	  -5.00	  -9.29	 95.00
 250.00	  -4.00	  -7.43	 94.00
 250.00	  -3.00	  -5.57	 93.00
 250.00	  -2.00	  -3.71	 92.00
 250.00	  -1.00	  -1.86	 91.00
 250.00	   0.00	   0.00	 90.00
 250.00	   1.00	   1.86	 89.00
 250.00	   2.00	   3.71	 88.00
 250.00	   3.00	   5.57	 93.00
 250.00	   4.00	   7.43	 94.00
 250.00	   5.00	   9.29	 95.00
 250.00	   6.00	  11.14	 96.00
 250.00	   7.00	  13.00	 97.00
 250.00	   8.00	  14.86	 98.00
 250.00	   9.00	  16.71	 99.00
 250.00	  10.00	  18.57	 100.00
 250.00	  11.00	  20.43	 101.00
 250.00	  12.00	  22.29	 102.00
 250.00	  13.00	  24.14	 103.00
 250.00	  14.00	  26.00	 104.00
 250.00	  15.00	  27.86	 105.00
   0.00	 -15.00	 -27.86	 105.00
   0.00	 -14.00	 -26.00	 104.00
   0.00	 -13.00	 -24.14	 103.00
   0.00	 -12.00	 -22.29	 102.00
   0.00	 -11.00	 -20.43	 101.00
   0.00	 -10.00	 -18.57	 100.00
   0.00	  -9.00	 -16.71	 99.00
   0.00	  -8.00	 -14.86	 98.00
   0.00	  -7.00	 -13.00	 97.00
   0.00	  -6.00	 -11.14	 96.00
   0.00	  -5.00	  -9.29	 95.00
   0.00	  -4.00	  -7.43	 94.00
   0.00	  -3.00	  -5.57	 93.00
   0.00	  -2.00	  -3.71	 92.00
   0.00	  -1.00	  -1.86	 91.00
   0.00	   0.00	   0.00	 90.00
   0.00	   1.00	   1.86	 89.00
   0.00	   2.00	   3.71	 88.00
   0.00	   3.00	   5.57	 87.00
   0.00	   4.00	   7.43	 86.00
   0.00	   5.00	   9.29	 85.00
   0.00	   6.00	  11.14	 84.00
   0.00	   7.00	  13.00	 83.00
   0.00	   8.00	  14.86	 82.00
   0.00	   9.00	  16.71	 81.00
   0.00	  10.00	  18.57	 80.00
   0.00	  11.00	  20.43	 79.00
   0.00	  12.00	  22.29	 78.00
   0.00	  13.00	  24.14	 77.00
   0.00	  14.00	  26.00	 76.00
   0.00	  15.00	  27.86	 75.00
  10.00	 -15.00	 -27.86	 105.00
  10.00	 -14.00	 -26.00	 104.00
  10.00	 -13.00	 -24.14	 103.00
  10.00	 -12.00	 -22.29	 102.00
  10.00	 -11.00	 -20.43	 101.00
  10.00	 -10.00	 -18.57	 100.00
  10.00	  -9.00	 -16.71	 99.00
  10.00	  -8.00	 -14.86	 98.00
  10.00	  -7.00	 -13.00	 97.00
  10.00	  -6.00	 -11.14	 96.00
  10.00	  -5.00	  -9.29	 95.00
  10.00	  -4.00	  -7.43	 94.00
  10.00	  -3.00	  -5.57	 93.00
  10.00	  -2.00	  -3.71	 92.00
  10.00	  -1.00	  -1.86	 91.00
  10.00	   0.00	   0.00	 90.00
  10.00	   1.00	   1.86	 89.00
  10.00	   2.00	   3.71	 88.00
  10.00	   3.00	   5.57	 87.00
  10.00	   4.00	   7.43	 86.00
  10.00	   5.00	   9.29	 85.00
  10.00	   6.00	  11.14	 84.00
  10.00	   7.00	  13.00	 83.00
  10.00	   8.00	  14.86	 82.00
  10.00	   9.00	  16.71	 81.00
  10.00	  10.00	  18.57	 80.00
  10.00	  11.00	  20.43	 79.00
  10.00	  12.00	  22.29	 78.00
  10.00	  13.00	  24.14	 77.00
  10.00	  14.00	  26.00	 76.00
  10.00	  15.00	  27.86	 75.00
   0.70	 -15.00	 -27.86	 105.00
   0.70	 -14.00	 -26.00	 104.00
   0.70	 -13.00	 -24.14	 103.00
   0.70	 -12.00	 -22.29	 102.00
   0.70	 -11.00	 -20.43	 101.00
   0.70	 -10.00	 -18.57	 100.00
   0.70	  -9.00	 -16.71	 99.00
   0.70	  -8.00	 -14.86	 98.00
   0.70	  -7.00	 -13.00	 97.00
   0.70	  -6.00	 -11.14	 96.00
   0.70	  -5.00	  -9.29	 95.00
   0.70	  -4.00	  -7.43	 94.00
   0.70	  -3.00	  -5.57	 93.00
   0.70	  -2.00	  -3.71	 92.00
   0.70	  -1.00	  -1.86	 91.00
   0.70	   0.00	   0.00	 90.00
   0.70	   1.00	   1.86	 89.00
