TMX baseline with stepped stranded towline 18300 FT cable

            trx-12 trim analysis parameters

kcas	alpha	delta	theta

 250.00	 -15.00	 -32.47	 60.19
 250.00	 -14.00	 -30.30	 61.06
 250.00	 -13.00	 -28.14	 62.02
 250.00	 -12.00	 -25.97	 63.07
 250.00	 -11.00	 -23.81	 64.20
 250.00	 -10.00	 -21.64	 65.39
 250.00	  -9.00	 -19.48	 66.61
 250.00	  -8.00	 -17.32	 67.83
 250.00	  -7.00	 -15.15	 69.00
 250.00	  -6.00	 -12.99	 70.03
 250.00	  -5.00	 -10.82	 70.81
 250.00	  -4.00	  -8.66	 71.16
 250.00	  -3.00	  -6.49	 70.77
 250.00	  -2.00	  -4.33	 69.11
 250.00	  -1.00	  -2.16	 65.16
 250.00	   0.00	   0.00	 56.76
 250.00	   1.00	   2.16	 39.64
 250.00	   2.00	   4.33	 10.76
 250.00	   3.00	   6.49	 17.59
 250.00	   4.00	   8.66	 34.24
 250.00	   5.00	  10.82	 42.70
 250.00	   6.00	  12.99	 47.08
 250.00	   7.00	  15.15	 49.41
 250.00	   8.00	  17.32	 50.63
 250.00	   9.00	  19.48	 51.23
 250.00	  10.00	  21.64	 51.47
 250.00	  11.00	  23.81	 51.50
 250.00	  12.00	  25.97	 51.43
 250.00	  13.00	  28.14	 51.29
 250.00	  14.00	  30.30	 51.15
 250.00	  15.00	  32.47	 51.00
